Second;UHOLEG2;UCOLEG2;ZINST80;ZINST71;ZINST77;ZINST74;WFWLN2;WSTM2;ZINST58;KBCDO23;KBCDO15;ZINST63;LOG_ACIDENTE
0;325,64;290,862;100,406;89,611;51,051;63,842;443,202;458,21;158,247;99;17;55,685;PARAMLOG_B-13
1;325,653;290,797;100,449;89,473;50,812;64,357;431,013;454,16;157,683;99;17;55,427;PARAMLOG_B-13
2;325,652;290,742;100,453;89,275;50,413;64,613;435,313;453,597;157,252;99;17;55,247;PARAMLOG_B-13
3;325,645;290,735;100,424;89,104;50,058;64,759;442,134;453,967;156,855;99;16;55,081;PARAMLOG_B-13
4;325,633;290,772;100,392;88,974;49,787;64,851;447,901;454,565;156,47;100;16;54,919;PARAMLOG_B-13
5;325,617;290,831;100,368;88,881;49,592;64,912;452,064;455,168;156,1;100;16;54,763;PARAMLOG_B-13
6;325,603;290,895;100,351;88,815;49,456;64,955;455,004;448,525;155,745;100;16;54,612;PARAMLOG_B-13
7;325,585;290,954;100,34;88,72;49,249;65,147;453,575;442,518;155,436;99;16;54,474;PARAMLOG_B-13
8;325,574;291,013;100,327;88,633;49,054;65,28;455,402;442,477;155,192;99;15;54,367;PARAMLOG_B-13
9;325,576;291,077;100,31;88,571;48,91;65,375;457,637;442,769;154,971;99;15;54,27;PARAMLOG_B-13
10;325,587;291,146;100,292;88,531;48,814;65,447;459,471;443,122;154,761;99;15;54,177;PARAMLOG_B-13
11;325,604;291,214;100,274;88,509;48,756;65,504;460,794;443,47;154,553;99;15;54,084;PARAMLOG_B-13
12;325,626;291,277;100,258;88,5;48,726;65,55;461,705;443,763;154,341;99;15;53,987;PARAMLOG_B-13
13;325,65;291,332;100,243;88,5;48,716;65,588;462,338;444,011;154,121;99;15;53,886;PARAMLOG_B-13
14;325,676;291,381;100,231;88,507;48,719;65,621;462,806;444,204;153,893;99;15;53,779;PARAMLOG_B-13
15;325,705;291,424;100,22;88,518;48,732;65,65;463,183;444,364;153,652;98;15;53,666;PARAMLOG_B-13
16;325,732;291,46;100,211;88,532;48,751;65,675;463,515;444,483;153,399;98;14;53,545;PARAMLOG_B-13
17;325,758;291,491;100,203;88,548;48,775;65,697;463,826;444,592;153,133;98;14;53,418;PARAMLOG_B-13
18;325,78;291,519;100,195;88,567;48,802;65,717;464,141;444,699;152,853;98;14;53,282;PARAMLOG_B-13
19;325,798;291,543;100,189;88,586;48,833;65,735;464,476;444,8;152,56;98;14;53,139;PARAMLOG_B-13
20;325,812;291,565;100,182;88,608;48,866;65,75;464,84;444,895;152,256;98;14;52,99;PARAMLOG_B-13
21;325,823;291,583;100,176;88,63;48,9;65,763;465,241;444,988;151,942;98;14;52,834;PARAMLOG_B-13
22;325,831;291,599;100,17;88,653;48,937;65,774;465,676;445,069;151,623;98;13;52,674;PARAMLOG_B-13
23;325,839;291,612;100,165;88,678;48,976;65,782;466,132;445,151;151,299;98;13;52,509;PARAMLOG_B-13
