Second;UHOLEG2;UCOLEG2;ZINST80;ZINST71;ZINST77;ZINST74;WFWLN2;WSTM2;ZINST58;KBCDO23;KBCDO15;ZINST63;LOG_ACIDENTE
0;325,514;290,881;100,381;89,192;50,017;64,351;455,212;453,884;158,825;99;17;55,825;PARAMLOG_L-69_OPTION-10020
1;325,515;290,881;100,381;89,195;50,026;64,345;454,762;453,607;158,822;99;17;55,825;PARAMLOG_L-69_OPTION-10020
2;325,516;290,88;100,382;89,195;50,028;64,342;454,197;453,402;158,819;99;17;55,824;PARAMLOG_L-69_OPTION-10020
3;325,517;290,878;100,382;89,193;50,025;64,34;453,526;453,313;158,815;99;17;55,822;PARAMLOG_L-69_OPTION-10020
4;325,517;290,876;100,383;89,19;50,02;64,339;452,741;453,312;158,812;99;17;55,821;PARAMLOG_L-69_OPTION-10020
5;325,518;290,874;100,383;89,185;50,013;64,338;451,863;453,406;158,808;99;17;55,82;PARAMLOG_L-69_OPTION-10020
6;325,519;290,872;100,384;89,18;50,006;64,336;450,913;453,55;158,805;99;17;55,819;PARAMLOG_L-69_OPTION-10020
7;325,519;290,871;100,384;89,174;49,998;64,335;449,922;453,762;158,801;99;17;55,818;PARAMLOG_L-69_OPTION-10020
8;325,519;290,87;100,384;89,167;49,989;64,332;448,908;454,016;158,797;99;17;55,817;PARAMLOG_L-69_OPTION-10020
9;325,52;290,869;100,384;89,159;49,979;64,329;447,907;454,298;158,793;100;17;55,815;PARAMLOG_L-69_OPTION-10020
10;325,52;290,868;100,385;89,15;49,968;64,326;446,927;454,627;158,787;100;17;55,813;PARAMLOG_L-69_OPTION-10020
11;325,521;290,867;100,385;89,14;49,954;64,322;445,998;454,958;158,781;100;17;55,811;PARAMLOG_L-69_OPTION-10020
12;325,522;290,865;100,385;89,127;49,939;64,318;445,128;455,315;158,774;100;17;55,809;PARAMLOG_L-69_OPTION-10020
13;325,522;290,864;100,386;89,114;49,921;64,313;444,331;455,658;158,766;100;17;55,806;PARAMLOG_L-69_OPTION-10020
14;325,523;290,861;100,386;89,098;49,901;64,308;443,612;456,022;158,757;100;17;55,802;PARAMLOG_L-69_OPTION-10020
15;325,524;290,859;100,387;89,081;49,878;64,303;442,979;456,367;158,746;100;17;55,798;PARAMLOG_L-69_OPTION-10020
16;325,525;290,857;100,387;89,063;49,852;64,297;442,437;456,711;158,734;100;17;55,794;PARAMLOG_L-69_OPTION-10020
17;325,525;290,854;100,388;89,043;49,824;64,292;441,987;457,035;158,721;100;17;55,789;PARAMLOG_L-69_OPTION-10020
18;325,526;290,851;100,389;89,021;49,793;64,286;441,636;457,347;158,708;100;17;55,784;PARAMLOG_L-69_OPTION-10020
19;325,526;290,848;100,389;88,998;49,76;64,28;441,373;457,649;158,694;100;17;55,778;PARAMLOG_L-69_OPTION-10020
20;325,526;290,845;100,39;88,973;49,724;64,275;441,206;457,92;158,679;100;17;55,773;PARAMLOG_L-69_OPTION-10020
21;325,526;290,841;100,391;88,947;49,685;64,269;441,122;458,178;158,663;100;17;55,767;PARAMLOG_L-69_OPTION-10020
22;325,525;290,838;100,392;88,92;49,645;64,263;441,126;458,41;158,647;100;17;55,761;PARAMLOG_L-69_OPTION-10020
23;325,525;290,834;100,392;88,892;49,602;64,258;441,215;458,612;158,632;100;17;55,754;PARAMLOG_L-69_OPTION-10020
24;325,525;290,83;100,393;88,863;49,558;64,252;441,379;458,798;158,616;100;17;55,748;PARAMLOG_L-69_OPTION-10020
25;325,524;290,826;100,394;88,833;49,512;64,247;441,609;458,955;158,6;100;17;55,742;PARAMLOG_L-69_OPTION-10020
26;325,524;290,822;100,395;88,803;49,465;64,242;441,907;459,097;158,584;100;17;55,736;PARAMLOG_L-69_OPTION-10020
27;325,523;290,819;100,395;88,772;49,417;64,237;442,263;459,217;158,568;100;17;55,73;PARAMLOG_L-69_OPTION-10020
28;325,523;290,815;100,396;88,741;49,368;64,232;442,671;459,304;158,553;100;17;55,723;PARAMLOG_L-69_OPTION-10020
29;325,523;290,811;100,397;88,71;49,319;64,227;443,125;459,38;158,538;100;17;55,718;PARAMLOG_L-69_OPTION-10020
30;325,521;290,807;100,398;88,679;49,269;64,222;443,625;459,432;158,52;100;17;55,711;PARAMLOG_L-69_OPTION-10020
31;325,519;290,803;100,399;88,648;49,219;64,218;444,16;459,466;158,501;100;17;55,704;PARAMLOG_L-69_OPTION-10020
32;325,515;290,799;100,4;88,618;49,17;64,213;444,731;459,486;158,481;100;17;55,696;PARAMLOG_L-69_OPTION-10020
33;325,512;290,795;100,4;88,588;49,121;64,208;445,335;459,485;158,462;100;17;55,688;PARAMLOG_L-69_OPTION-10020
34;325,509;290,791;100,401;88,558;49,072;64,203;445,965;459,476;158,443;100;17;55,68;PARAMLOG_L-69_OPTION-10020
35;325,507;290,787;100,402;88,529;49,025;64,198;446,617;459,46;158,425;100;17;55,673;PARAMLOG_L-69_OPTION-10020
36;325,505;290,782;100,403;88,501;48,978;64,193;447,279;459,421;158,407;100;17;55,666;PARAMLOG_L-69_OPTION-10020
37;325,504;290,777;100,404;88,474;48,933;64,188;447,946;459,355;158,391;100;17;55,66;PARAMLOG_L-69_OPTION-10020
38;325,503;290,773;100,405;88,447;48,889;64,183;448,612;459,305;158,375;100;17;55,653;PARAMLOG_L-69_OPTION-10020
39;325,502;290,768;100,406;88,422;48,846;64,177;449,275;459,228;158,359;100;17;55,647;PARAMLOG_L-69_OPTION-10020
40;325,501;290,763;100,407;88,397;48,805;64,172;449,931;459,16;158,344;100;17;55,641;PARAMLOG_L-69_OPTION-10020
41;325,501;290,758;100,408;88,374;48,766;64,167;450,578;459,081;158,328;100;17;55,635;PARAMLOG_L-69_OPTION-10020
