Second;UHOLEG2;UCOLEG2;ZINST80;ZINST71;ZINST77;ZINST74;WFWLN2;WSTM2;ZINST58;KBCDO23;KBCDO15;ZINST63;LOG_ACIDENTE
0;325,517;290,881;100,382;89,189;50,01;64,356;455,17;452,299;158,816;99;17;55,824;PARAMLOG_N-79_OPTION-1
1;325,515;290,881;100,383;89,185;50,001;64,362;454,898;451,647;158,807;99;17;55,818;PARAMLOG_N-79_OPTION-1
2;325,513;290,882;100,381;89,18;49,988;64,37;454,511;451,144;158,812;99;17;55,82;PARAMLOG_N-79_OPTION-1
3;325,509;290,884;100,379;89,173;49,974;64,38;454,007;450,813;158,825;99;17;55,825;PARAMLOG_N-79_OPTION-1
4;325,506;290,886;100,378;89,167;49,96;64,39;453,399;450,568;158,843;99;17;55,833;PARAMLOG_N-79_OPTION-1
5;325,503;290,891;100,376;89,162;49,946;64,4;452,705;450,434;158,865;99;17;55,843;PARAMLOG_N-79_OPTION-1
6;325,5;290,896;100,374;89,156;49,934;64,41;451,96;450,326;158,892;99;17;55,855;PARAMLOG_N-79_OPTION-1
7;325,499;290,901;100,373;89,151;49,923;64,419;451,181;450,309;158,923;99;17;55,868;PARAMLOG_N-79_OPTION-1
8;325,498;290,908;100,371;89,145;49,913;64,427;450,392;450,276;158,958;99;17;55,884;PARAMLOG_N-79_OPTION-1
9;325,496;290,914;100,371;89,14;49,902;64,436;449,609;450,305;158,99;99;17;55,9;PARAMLOG_N-79_OPTION-1
10;325,494;290,92;100,37;89,145;49,91;64,445;460,083;450,364;159,023;99;17;55,917;PARAMLOG_N-79_OPTION-1
11;325,493;290,927;100,37;89,151;49,916;64,452;458,787;450,306;159,055;99;17;55,934;PARAMLOG_N-79_OPTION-1
12;325,493;290,934;100,369;89,155;49,921;64,456;457,736;450,22;159,087;99;17;55,952;PARAMLOG_N-79_OPTION-1
13;325,493;290,939;100,369;89,158;49,924;64,458;456,817;450,181;159,117;99;17;55,97;PARAMLOG_N-79_OPTION-1
14;325,495;290,944;100,369;89,161;49,927;64,459;455,983;450,108;159,144;99;17;55,988;PARAMLOG_N-79_OPTION-1
15;325,497;290,948;100,37;89,163;49,929;64,459;455,2;450,084;159,168;99;18;56,005;PARAMLOG_N-79_OPTION-1
16;325,499;290,95;100,37;89,165;49,931;64,458;454,448;450,024;159,188;99;18;56,021;PARAMLOG_N-79_OPTION-1
17;325,499;290,952;100,371;89,166;49,932;64,457;453,726;450,01;159,202;99;18;56,035;PARAMLOG_N-79_OPTION-1
18;325,466;290,964;100,379;87,596;46,589;66,282;12;50,339;159,274;96;18;56,053;PARAMLOG_N-79_OPTION-1
19;325,177;291,103;100,345;85,306;41,655;68,337;12;110,952;159,881;81;19;56,297;PARAMLOG_N-79_OPTION-1
20;324,411;291,513;100,248;83,833;38,628;69,805;12;163,497;159,657;55;21;56,358;PARAMLOG_N-79_OPTION-1
21;323,013;292,178;100,121;83,007;37,027;70,879;12;218,221;157,467;36;25;55,761;PARAMLOG_N-79_OPTION-1
22;320,8;292,965;99,975;82,637;36,401;71,603;12;246,173;153,725;24;28;54,517;PARAMLOG_N-79_OPTION-1
23;318,064;293,717;99,878;82,428;36,129;72,089;12;270,188;150,587;17;30;52,774;PARAMLOG_N-79_OPTION-1
24;315,074;294,308;99,803;82,29;36,017;72,314;12;290,786;148,243;12;33;50,771;PARAMLOG_N-79_OPTION-1
25;312,157;294,656;99,796;82,105;35,814;72,195;12;304,255;146,488;10;34;48,727;PARAMLOG_N-79_OPTION-1
26;309,564;294,727;99,845;81,867;35,502;71,744;12;315,076;145,116;8;35;46,753;PARAMLOG_N-79_OPTION-1
27;307,416;294,52;99,97;81,608;35,156;71,068;12;321,97;143,962;6;36;44,882;PARAMLOG_N-79_OPTION-1
28;305,725;294,066;100,161;81,339;34,795;70,252;12;325,668;142,913;6;36;43,109;PARAMLOG_N-79_OPTION-1
29;304,424;293,414;100,383;81,066;34,433;69,366;12;327,206;141,894;5;36;41,409;PARAMLOG_N-79_OPTION-1
30;303,407;292,625;100,631;80,795;34,08;68,465;12;327,479;140,863;4;37;39,756;PARAMLOG_N-79_OPTION-1
31;302,564;291,758;100,892;80,482;33,655;67,651;12;329,952;139,803;4;37;38,13;PARAMLOG_N-79_OPTION-1
32;301,783;290,868;101,131;80,072;33,048;66,96;12;330,087;138,731;3;37;36,523;PARAMLOG_N-79_OPTION-1
33;301;289,999;101,353;79,608;32,341;66,332;12;329,65;137,662;3;37;34,943;PARAMLOG_N-79_OPTION-1
34;300,181;289,18;101,56;79,119;31,588;65,745;12;328,806;136,596;3;37;33,388;PARAMLOG_N-79_OPTION-1
35;299,317;288,418;101,73;78,618;30,815;65,187;12;327,593;135,541;3;38;31,859;PARAMLOG_N-79_OPTION-1
36;298,411;287,709;101,898;78,11;30,027;64,645;12;326,037;134,5;2;38;30,362;PARAMLOG_N-79_OPTION-1
37;297,48;287,041;102,044;77,594;29,226;64,114;12;324,185;133,479;2;38;28,897;PARAMLOG_N-79_OPTION-1
38;296,505;286,412;100,924;76,426;27,092;65,266;12;43,051;132,517;2;39;27,476;PARAMLOG_N-79_OPTION-1
39;295,264;285,904;96,524;74,438;23,309;66,798;12;35,154;132,025;2;39;26,301;PARAMLOG_N-79_OPTION-1
40;294,064;285,603;90,943;72,396;19,514;67,733;12;42,651;131,873;2;40;25,456;PARAMLOG_N-79_OPTION-1
